subject,experiment,task_type,trial_number,target_pair_type,target_pair_condition,target_triad_index,response_correct,response_time
1,1a,speeded_recognition,1,AB,blocked,1,correct,1752
1,1a,speeded_recognition,2,AC,intermixed,6,correct,921
1,1a,speeded_recognition,3,AC,blocked,3,correct,1233
1,1a,speeded_recognition,4,AB,intermixed,5,correct,1280
1,1a,speeded_recognition,5,AC,blocked,1,correct,1630
1,1a,speeded_recognition,6,BC,intermixed,6,correct,1836
1,1a,speeded_recognition,7,foil,intermixed,N/A,correct,1039
1,1a,speeded_recognition,8,BC,blocked,2,correct,1282
1,1a,speeded_recognition,9,foil,blocked,N/A,correct,1512
1,1a,speeded_recognition,10,AC,intermixed,4,correct,1269
1,1a,speeded_recognition,11,BC,blocked,3,correct,1812
1,1a,speeded_recognition,12,BC,intermixed,6,correct,1225
1,1a,speeded_recognition,13,foil,intermixed,N/A,correct,1530
1,1a,speeded_recognition,14,AB,blocked,2,incorrect,1211
1,1a,speeded_recognition,15,AC,intermixed,5,correct,1963
1,1a,speeded_recognition,16,foil,blocked,N/A,correct,1899
1,1a,speeded_recognition,17,BC,intermixed,4,correct,1209
1,1a,speeded_recognition,18,foil,blocked,N/A,correct,1242
1,1a,speeded_recognition,19,AB,blocked,1,correct,995
1,1a,speeded_recognition,20,foil,blocked,N/A,correct,1213
1,1a,speeded_recognition,21,AC,intermixed,5,correct,1970
1,1a,speeded_recognition,22,BC,blocked,1,correct,1343
1,1a,speeded_recognition,23,AC,intermixed,6,incorrect,1455
1,1a,speeded_recognition,24,AC,blocked,2,correct,1149
1,1a,speeded_recognition,25,foil,intermixed,N/A,correct,1861
1,1a,speeded_recognition,26,BC,intermixed,4,correct,1411
1,1a,speeded_recognition,27,BC,blocked,3,correct,1491
1,1a,speeded_recognition,28,AB,intermixed,4,correct,894
1,1a,speeded_recognition,29,AB,blocked,3,correct,1541
1,1a,speeded_recognition,30,AB,intermixed,6,correct,1715
1,1a,speeded_recognition,31,foil,intermixed,N/A,correct,1859
1,1a,speeded_recognition,32,AC,blocked,2,correct,1376
1,1a,speeded_recognition,33,BC,intermixed,5,correct,1235
1,1a,speeded_recognition,34,AB,blocked,2,correct,1044
1,1a,speeded_recognition,35,foil,intermixed,N/A,correct,1131
1,1a,speeded_recognition,36,AB,intermixed,5,correct,1741
1,1a,speeded_recognition,37,AC,blocked,3,correct,1683
1,1a,speeded_recognition,38,AB,intermixed,4,correct,1311
1,1a,speeded_recognition,39,foil,intermixed,N/A,correct,1276
1,1a,speeded_recognition,40,AC,blocked,1,correct,1182
1,1a,speeded_recognition,41,AC,intermixed,4,correct,1366
1,1a,speeded_recognition,42,foil,blocked,N/A,correct,986
1,1a,speeded_recognition,43,BC,blocked,2,correct,1086
1,1a,speeded_recognition,44,BC,intermixed,5,correct,1451
1,1a,speeded_recognition,45,BC,blocked,1,correct,1495
1,1a,speeded_recognition,46,foil,blocked,N/A,correct,1556
1,1a,speeded_recognition,47,AB,intermixed,6,correct,1568
1,1a,speeded_recognition,48,AB,blocked,3,correct,980
1,1a,explicit_inference,1,AC,blocked,3,correct,1990
1,1a,explicit_inference,2,AC,intermixed,5,correct,1629
1,1a,explicit_inference,3,AC,intermixed,4,incorrect,2880
1,1a,explicit_inference,4,AC,blocked,2,incorrect,3227
1,1a,explicit_inference,5,AC,blocked,1,correct,2675
1,1a,explicit_inference,6,AC,intermixed,6,correct,2026
1,1a,explicit_inference,7,AC,intermixed,5,incorrect,3730
1,1a,explicit_inference,8,AC,intermixed,4,correct,2745
1,1a,explicit_inference,9,AC,intermixed,6,correct,1797
1,1a,explicit_inference,10,AC,blocked,3,incorrect,2469
1,1a,explicit_inference,11,AC,blocked,1,incorrect,3945
1,1a,explicit_inference,12,AC,blocked,2,incorrect,3874
2,1a,speeded_recognition,1,BC,blocked,1,correct,1477
2,1a,speeded_recognition,2,foil,intermixed,N/A,incorrect,1549
2,1a,speeded_recognition,3,AC,blocked,3,correct,1459
2,1a,speeded_recognition,4,BC,intermixed,4,correct,1169
2,1a,speeded_recognition,5,AC,blocked,3,correct,1333
2,1a,speeded_recognition,6,AC,intermixed,4,correct,1734
2,1a,speeded_recognition,7,foil,blocked,N/A,correct,1287
2,1a,speeded_recognition,8,AC,blocked,1,correct,1383
2,1a,speeded_recognition,9,foil,intermixed,N/A,correct,1541
2,1a,speeded_recognition,10,AB,intermixed,4,correct,1399
2,1a,speeded_recognition,11,AB,blocked,1,correct,1258
2,1a,speeded_recognition,12,BC,intermixed,5,incorrect,1029
2,1a,speeded_recognition,13,foil,blocked,N/A,correct,1359
2,1a,speeded_recognition,14,AC,blocked,2,correct,1294
2,1a,speeded_recognition,15,foil,intermixed,N/A,correct,1675
2,1a,speeded_recognition,16,BC,intermixed,5,correct,937
2,1a,speeded_recognition,17,AB,blocked,2,correct,1329
2,1a,speeded_recognition,18,AB,intermixed,6,correct,1986
2,1a,speeded_recognition,19,foil,intermixed,N/A,correct,1675
2,1a,speeded_recognition,20,AB,blocked,2,correct,1163
2,1a,speeded_recognition,21,BC,intermixed,6,correct,2136
2,1a,speeded_recognition,22,AC,blocked,1,correct,1834
2,1a,speeded_recognition,23,foil,intermixed,N/A,correct,1564
2,1a,speeded_recognition,24,foil,blocked,N/A,correct,1042
2,1a,speeded_recognition,25,AB,intermixed,6,correct,1173
2,1a,speeded_recognition,26,AB,blocked,1,correct,1313
2,1a,speeded_recognition,27,AC,intermixed,5,correct,2087
2,1a,speeded_recognition,28,BC,blocked,3,correct,1620
2,1a,speeded_recognition,29,AB,intermixed,5,incorrect,3205
2,1a,speeded_recognition,30,foil,intermixed,N/A,correct,1503
2,1a,speeded_recognition,31,BC,blocked,1,correct,1727
2,1a,speeded_recognition,32,AB,intermixed,4,correct,1404
2,1a,speeded_recognition,33,foil,blocked,N/A,incorrect,2183
2,1a,speeded_recognition,34,BC,intermixed,4,correct,1483
2,1a,speeded_recognition,35,AB,blocked,3,correct,1208
2,1a,speeded_recognition,36,AC,intermixed,6,N/A,N/A
2,1a,speeded_recognition,37,foil,blocked,N/A,correct,1250
2,1a,speeded_recognition,38,BC,blocked,2,correct,1789
2,1a,speeded_recognition,39,AC,intermixed,4,correct,1526
2,1a,speeded_recognition,40,BC,blocked,2,correct,1339
2,1a,speeded_recognition,41,AC,intermixed,5,correct,1488
2,1a,speeded_recognition,42,AC,blocked,2,correct,1329
2,1a,speeded_recognition,43,BC,intermixed,6,correct,1216
2,1a,speeded_recognition,44,AB,blocked,3,correct,983
2,1a,speeded_recognition,45,foil,blocked,N/A,correct,1281
2,1a,speeded_recognition,46,AB,intermixed,5,correct,1606
2,1a,speeded_recognition,47,BC,blocked,3,correct,1633
2,1a,speeded_recognition,48,AC,intermixed,6,incorrect,1187
2,1a,explicit_inference,1,AC,blocked,3,correct,4073
2,1a,explicit_inference,2,AC,intermixed,6,N/A,N/A
2,1a,explicit_inference,3,AC,intermixed,4,correct,3198
2,1a,explicit_inference,4,AC,blocked,2,correct,4286
2,1a,explicit_inference,5,AC,blocked,1,correct,2134
2,1a,explicit_inference,6,AC,intermixed,5,correct,5544
2,1a,explicit_inference,7,AC,blocked,2,correct,3028
2,1a,explicit_inference,8,AC,intermixed,6,correct,2726
2,1a,explicit_inference,9,AC,blocked,3,incorrect,2182
2,1a,explicit_inference,10,AC,intermixed,4,correct,2894
