subject,experiment,task_type,trial_number,target_pair_type,target_pair_condition,target_triad_index,response_correct,response_time
1,1c,speeded_recognition,1,foil,blocked,N/A,correct,1017
1,1c,speeded_recognition,2,AC,intermixed,4,incorrect,1936
1,1c,speeded_recognition,3,BC,blocked,2,correct,1500
1,1c,speeded_recognition,4,AC,intermixed,5,correct,1499
1,1c,speeded_recognition,5,AC,blocked,3,correct,1357
1,1c,speeded_recognition,6,AC,intermixed,4,incorrect,1365
1,1c,speeded_recognition,7,foil,intermixed,N/A,correct,1325
1,1c,speeded_recognition,8,AB,blocked,3,incorrect,1190
1,1c,speeded_recognition,9,AB,intermixed,5,correct,1056
1,1c,speeded_recognition,10,AC,blocked,2,correct,1438
1,1c,speeded_recognition,11,BC,intermixed,5,correct,1447
1,1c,speeded_recognition,12,AC,blocked,3,correct,1317
1,1c,speeded_recognition,13,foil,intermixed,N/A,correct,1638
1,1c,speeded_recognition,14,AB,blocked,1,incorrect,1194
1,1c,speeded_recognition,15,BC,intermixed,6,correct,921
1,1c,speeded_recognition,16,AC,blocked,1,correct,1626
1,1c,speeded_recognition,17,foil,intermixed,N/A,correct,1416
1,1c,speeded_recognition,18,BC,blocked,1,correct,731
1,1c,speeded_recognition,19,AB,intermixed,5,correct,1019
1,1c,speeded_recognition,20,foil,blocked,N/A,correct,1423
1,1c,speeded_recognition,21,foil,intermixed,N/A,correct,1779
1,1c,speeded_recognition,22,AC,intermixed,6,correct,1343
1,1c,speeded_recognition,23,BC,blocked,3,correct,893
1,1c,speeded_recognition,24,AB,intermixed,4,correct,1191
1,1c,speeded_recognition,25,foil,intermixed,N/A,incorrect,2015
1,1c,speeded_recognition,26,AC,blocked,1,correct,1784
1,1c,speeded_recognition,27,BC,intermixed,4,incorrect,1300
1,1c,speeded_recognition,28,foil,blocked,N/A,correct,1125
1,1c,speeded_recognition,29,AC,intermixed,5,correct,1631
1,1c,speeded_recognition,30,AB,blocked,2,correct,865
1,1c,speeded_recognition,31,BC,intermixed,6,correct,917
1,1c,speeded_recognition,32,BC,blocked,1,correct,971
1,1c,speeded_recognition,33,AC,intermixed,6,correct,1354
1,1c,speeded_recognition,34,BC,blocked,3,correct,985
1,1c,speeded_recognition,35,AB,intermixed,6,incorrect,1664
1,1c,speeded_recognition,36,AB,blocked,2,correct,809
1,1c,speeded_recognition,37,foil,blocked,N/A,correct,1754
1,1c,speeded_recognition,38,BC,blocked,2,correct,1161
1,1c,speeded_recognition,39,BC,intermixed,5,correct,919
1,1c,speeded_recognition,40,foil,intermixed,N/A,correct,1159
1,1c,speeded_recognition,41,AB,intermixed,6,incorrect,1286
1,1c,speeded_recognition,42,AB,blocked,1,correct,1214
1,1c,speeded_recognition,43,BC,intermixed,4,correct,1309
1,1c,speeded_recognition,44,AC,blocked,2,correct,859
1,1c,speeded_recognition,45,foil,blocked,N/A,correct,1037
1,1c,speeded_recognition,46,AB,intermixed,4,correct,1122
1,1c,speeded_recognition,47,foil,blocked,N/A,correct,1391
1,1c,speeded_recognition,48,AB,blocked,3,correct,1051
1,1c,explicit_inference,1,AC,blocked,2,correct,3786
1,1c,explicit_inference,2,AC,blocked,3,correct,4022
