subject,experiment,included_in_subsample_analysis,task_type,trial_number,pair_type,condition,triad_index,response_correct,response_time
1,2,,feature_memory,1,N/A,intermixed,2,correct,1450
1,2,,feature_memory,2,N/A,intermixed,3,correct,1707
1,2,,feature_memory,3,N/A,intermixed,2,correct,1261
1,2,,feature_memory,4,N/A,blocked,4,correct,1632
1,2,,feature_memory,5,N/A,blocked,6,correct,1552
1,2,,feature_memory,6,N/A,blocked,5,correct,1893
1,2,,feature_memory,7,N/A,blocked,6,correct,1303
1,2,,feature_memory,8,N/A,blocked,4,correct,1455
1,2,,feature_memory,9,N/A,intermixed,1,correct,1975
1,2,,feature_memory,10,N/A,blocked,5,correct,2015
1,2,,feature_memory,11,N/A,intermixed,1,correct,1176
1,2,,feature_memory,12,N/A,intermixed,3,correct,1442
1,2,,feature_generalization,1,N/A,intermixed,2,correct,2046
1,2,,feature_generalization,2,N/A,intermixed,3,correct,3112
1,2,,feature_generalization,3,N/A,intermixed,1,incorrect,2427
1,2,,feature_generalization,4,N/A,intermixed,2,correct,1318
1,2,,feature_generalization,5,N/A,blocked,4,correct,2207
1,2,,feature_generalization,6,N/A,blocked,6,correct,1828
1,2,,feature_generalization,7,N/A,blocked,5,correct,1152
1,2,,feature_generalization,8,N/A,intermixed,3,correct,1540
1,2,,feature_generalization,9,N/A,blocked,5,correct,1687
1,2,,feature_generalization,10,N/A,blocked,4,correct,2620
1,2,,feature_generalization,11,N/A,blocked,6,correct,2258
1,2,,feature_generalization,12,N/A,intermixed,1,incorrect,1151
1,2,,explicit_direct,1,BC,intermixed,2,correct,1543
1,2,,explicit_direct,2,AB,blocked,4,correct,1394
1,2,,explicit_direct,3,BC,intermixed,3,correct,1390
1,2,,explicit_direct,4,BC,intermixed,1,correct,1221
1,2,,explicit_direct,5,AB,blocked,6,incorrect,2043
1,2,,explicit_direct,6,BC,blocked,5,correct,1322
1,2,,explicit_direct,7,AB,intermixed,2,correct,1712
1,2,,explicit_direct,8,AB,blocked,5,incorrect,1489
1,2,,explicit_direct,9,BC,blocked,4,correct,2582
1,2,,explicit_direct,10,AB,intermixed,2,correct,1078
1,2,,explicit_direct,11,BC,intermixed,1,correct,1092
1,2,,explicit_direct,12,AB,intermixed,3,correct,2234
1,2,,explicit_direct,13,BC,intermixed,2,correct,1139
