subject,experiment,task_type,trial_number,target_pair_type,target_pair_condition,target_triad_index,response_correct,response_time
1,3b,speeded_recognition,1,AB,blocked,1,correct,1018
1,3b,speeded_recognition,2,AC,intermixed,6,correct,1111
1,3b,speeded_recognition,3,foil,blocked,N/A,incorrect,1072
1,3b,speeded_recognition,4,BC,intermixed,5,correct,1198
1,3b,speeded_recognition,5,foil,blocked,N/A,correct,874
1,3b,speeded_recognition,6,foil,intermixed,N/A,incorrect,810
1,3b,speeded_recognition,7,AC,blocked,2,correct,665
1,3b,speeded_recognition,8,foil,intermixed,N/A,correct,913
1,3b,speeded_recognition,9,BC,intermixed,4,incorrect,1144
1,3b,speeded_recognition,10,foil,blocked,N/A,incorrect,614
1,3b,speeded_recognition,11,AC,intermixed,5,incorrect,1056
1,3b,speeded_recognition,12,AB,blocked,3,correct,1343
1,3b,speeded_recognition,13,AC,intermixed,4,incorrect,1244
1,3b,speeded_recognition,14,BC,blocked,2,correct,1596
1,3b,speeded_recognition,15,AC,intermixed,6,correct,831
1,3b,speeded_recognition,16,AC,blocked,1,correct,864
1,3b,speeded_recognition,17,AB,intermixed,5,correct,1072
1,3b,speeded_recognition,18,BC,blocked,1,correct,387
1,3b,speeded_recognition,19,foil,blocked,N/A,incorrect,810
1,3b,speeded_recognition,20,foil,blocked,N/A,incorrect,1172
1,3b,speeded_recognition,21,BC,intermixed,4,N/A,N/A
1,3b,speeded_recognition,22,BC,blocked,1,correct,870
1,3b,speeded_recognition,23,foil,intermixed,N/A,incorrect,519
1,3b,speeded_recognition,24,AB,blocked,3,correct,515
1,3b,speeded_recognition,25,AC,intermixed,4,N/A,N/A
1,3b,speeded_recognition,26,AC,blocked,2,incorrect,638
1,3b,speeded_recognition,27,BC,intermixed,6,correct,1385
1,3b,speeded_recognition,28,BC,blocked,2,correct,530
1,3b,speeded_recognition,29,AB,intermixed,5,incorrect,1773
1,3b,speeded_recognition,30,foil,intermixed,N/A,incorrect,1427
1,3b,speeded_recognition,31,AC,blocked,3,incorrect,721
1,3b,speeded_recognition,32,AB,intermixed,6,correct,579
1,3b,speeded_recognition,33,AC,blocked,3,incorrect,858
1,3b,speeded_recognition,34,AB,intermixed,4,incorrect,460
1,3b,speeded_recognition,35,AB,blocked,2,correct,790
1,3b,speeded_recognition,36,foil,intermixed,N/A,incorrect,901
1,3b,speeded_recognition,37,AB,intermixed,6,correct,928
1,3b,speeded_recognition,38,AC,blocked,1,incorrect,606
1,3b,speeded_recognition,39,AB,intermixed,4,incorrect,841
1,3b,speeded_recognition,40,foil,blocked,N/A,correct,919
1,3b,speeded_recognition,41,BC,blocked,3,correct,615
1,3b,speeded_recognition,42,AC,intermixed,5,correct,890
1,3b,speeded_recognition,43,AB,blocked,1,correct,644
1,3b,speeded_recognition,44,BC,intermixed,6,correct,682
1,3b,speeded_recognition,45,BC,blocked,3,incorrect,757
1,3b,speeded_recognition,46,foil,intermixed,N/A,incorrect,563
1,3b,speeded_recognition,47,BC,intermixed,5,incorrect,721
1,3b,speeded_recognition,48,AB,blocked,2,correct,413
1,3b,explicit_inference,1,AC,blocked,2,correct,7862
1,3b,explicit_inference,2,AC,blocked,3,correct,4861
1,3b,explicit_inference,3,AC,blocked,1,incorrect,2534
1,3b,explicit_inference,4,AC,intermixed,6,correct,992
1,3b,explicit_inference,5,AC,intermixed,5,correct,2716
1,3b,explicit_inference,6,AC,blocked,1,incorrect,1742
1,3b,explicit_inference,7,AC,intermixed,5,incorrect,1766
1,3b,explicit_inference,8,AC,intermixed,4,incorrect,1853
1,3b,explicit_inference,9,AC,blocked,3,correct,3453
1,3b,explicit_inference,10,AC,intermixed,6,incorrect,2310
1,3b,explicit_inference,11,AC,blocked,2,correct,1349
1,3b,explicit_inference,12,AC,intermixed,4,incorrect,2021
1,3b,explicit_direct,1,BC,blocked,1,incorrect,2052
1,3b,explicit_direct,2,BC,intermixed,6,incorrect,1302
1,3b,explicit_direct,3,AB,intermixed,5,incorrect,1206
1,3b,explicit_direct,4,BC,blocked,2,incorrect,1647
1,3b,explicit_direct,5,AB,intermixed,6,incorrect,2637
1,3b,explicit_direct,6,BC,intermixed,5,correct,1830
1,3b,explicit_direct,7,AB,intermixed,6,correct,1285
1,3b,explicit_direct,8,AB,intermixed,5,correct,2070
1,3b,explicit_direct,9,AB,blocked,1,incorrect,1758
1,3b,explicit_direct,10,BC,intermixed,4,incorrect,1308
1,3b,explicit_direct,11,BC,intermixed,6,incorrect,991
1,3b,explicit_direct,12,BC,intermixed,5,correct,1615
1,3b,explicit_direct,13,BC,blocked,1,incorrect,1597
1,3b,explicit_direct,14,AB,intermixed,4,incorrect,1014
1,3b,explicit_direct,15,BC,blocked,2,correct,911
1,3b,explicit_direct,16,AB,intermixed,4,incorrect,3302
1,3b,explicit_direct,17,AB,blocked,2,correct,1029
1,3b,explicit_direct,18,AB,blocked,3,incorrect,900
1,3b,explicit_direct,19,BC,intermixed,4,incorrect,1700
1,3b,explicit_direct,20,AB,blocked,3,incorrect,885
1,3b,explicit_direct,21,AB,blocked,2,correct,1462
1,3b,explicit_direct,22,BC,blocked,3,correct,853
1,3b,explicit_direct,23,AB,blocked,1,correct,1183
1,3b,explicit_direct,24,BC,blocked,3,correct,1021
2,3b,speeded_recognition,1,BC,intermixed,6,correct,1184
2,3b,speeded_recognition,2,AB,blocked,1,incorrect,1613
2,3b,speeded_recognition,3,AB,intermixed,4,correct,1636
2,3b,speeded_recognition,4,foil,intermixed,N/A,incorrect,1178
2,3b,speeded_recognition,5,AB,blocked,2,correct,1296
2,3b,speeded_recognition,6,AB,intermixed,5,incorrect,1397
2,3b,speeded_recognition,7,AC,blocked,3,correct,1518
2,3b,speeded_recognition,8,AC,intermixed,4,incorrect,1347
2,3b,speeded_recognition,9,AC,blocked,1,incorrect,1441
2,3b,speeded_recognition,10,AC,intermixed,5,incorrect,1202
2,3b,speeded_recognition,11,foil,blocked,N/A,correct,1131
2,3b,speeded_recognition,12,BC,blocked,3,correct,1345
2,3b,speeded_recognition,13,foil,intermixed,N/A,correct,1293
2,3b,speeded_recognition,14,AB,intermixed,5,correct,1245
2,3b,speeded_recognition,15,foil,blocked,N/A,incorrect,1154
2,3b,speeded_recognition,16,BC,blocked,2,correct,1137
2,3b,speeded_recognition,17,foil,blocked,N/A,incorrect,1125
2,3b,speeded_recognition,18,AB,intermixed,4,correct,1168
2,3b,speeded_recognition,19,foil,blocked,N/A,correct,914
2,3b,speeded_recognition,20,foil,intermixed,N/A,incorrect,1222
2,3b,speeded_recognition,21,BC,blocked,1,correct,1154
2,3b,speeded_recognition,22,BC,intermixed,4,correct,929
2,3b,speeded_recognition,23,BC,blocked,2,correct,1077
2,3b,speeded_recognition,24,AC,intermixed,6,correct,1503
2,3b,speeded_recognition,25,BC,blocked,1,correct,1065
2,3b,speeded_recognition,26,AB,intermixed,6,correct,1236
2,3b,speeded_recognition,27,AB,blocked,3,correct,1037
2,3b,speeded_recognition,28,BC,intermixed,6,incorrect,1298
2,3b,speeded_recognition,29,BC,blocked,3,correct,1241
2,3b,speeded_recognition,30,BC,intermixed,5,correct,1011
2,3b,speeded_recognition,31,AB,blocked,2,incorrect,1257
2,3b,speeded_recognition,32,AC,intermixed,6,incorrect,1502
2,3b,speeded_recognition,33,AC,blocked,1,incorrect,1084
2,3b,speeded_recognition,34,foil,intermixed,N/A,incorrect,904
2,3b,speeded_recognition,35,BC,intermixed,4,correct,740
2,3b,speeded_recognition,36,foil,intermixed,N/A,incorrect,1151
2,3b,speeded_recognition,37,foil,blocked,N/A,correct,1259
2,3b,speeded_recognition,38,AB,blocked,3,correct,977
2,3b,speeded_recognition,39,AB,intermixed,6,correct,1070
2,3b,speeded_recognition,40,foil,blocked,N/A,correct,1496
2,3b,speeded_recognition,41,AC,blocked,2,correct,1379
2,3b,speeded_recognition,42,BC,intermixed,5,correct,904
2,3b,speeded_recognition,43,AB,blocked,1,correct,1575
2,3b,speeded_recognition,44,AC,intermixed,5,incorrect,1464
2,3b,speeded_recognition,45,foil,intermixed,N/A,incorrect,1462
2,3b,speeded_recognition,46,AC,blocked,3,correct,1132
2,3b,speeded_recognition,47,AC,intermixed,4,correct,1255
2,3b,speeded_recognition,48,AC,blocked,2,correct,1122
2,3b,explicit_inference,1,AC,blocked,1,correct,4848
2,3b,explicit_inference,2,AC,intermixed,5,N/A,N/A
2,3b,explicit_inference,3,AC,blocked,2,correct,3805
2,3b,explicit_inference,4,AC,intermixed,6,incorrect,2599
2,3b,explicit_inference,5,AC,blocked,3,incorrect,2880
2,3b,explicit_inference,6,AC,intermixed,4,correct,2611
2,3b,explicit_inference,7,AC,intermixed,6,correct,4009
2,3b,explicit_inference,8,AC,intermixed,5,correct,4125
2,3b,explicit_inference,9,AC,intermixed,4,correct,2575
2,3b,explicit_inference,10,AC,blocked,1,correct,2201
2,3b,explicit_inference,11,AC,blocked,2,correct,4284
2,3b,explicit_inference,12,AC,blocked,3,incorrect,3509
2,3b,explicit_direct,1,BC,intermixed,6,correct,4010
2,3b,explicit_direct,2,AB,intermixed,5,correct,2734
2,3b,explicit_direct,3,AB,intermixed,4,incorrect,3504
2,3b,explicit_direct,4,AB,blocked,2,correct,2772
2,3b,explicit_direct,5,AB,blocked,1,correct,2625
2,3b,explicit_direct,6,BC,intermixed,5,correct,2350
2,3b,explicit_direct,7,BC,blocked,3,correct,3225
2,3b,explicit_direct,8,BC,blocked,2,incorrect,2436
2,3b,explicit_direct,9,AB,intermixed,6,incorrect,2002
2,3b,explicit_direct,10,BC,intermixed,5,correct,1900
2,3b,explicit_direct,11,BC,blocked,1,correct,2022
2,3b,explicit_direct,12,BC,blocked,3,correct,3487
2,3b,explicit_direct,13,BC,blocked,2,correct,2671
2,3b,explicit_direct,14,BC,intermixed,4,correct,1514
2,3b,explicit_direct,15,AB,intermixed,6,incorrect,2073
2,3b,explicit_direct,16,AB,blocked,1,correct,1945
2,3b,explicit_direct,17,BC,intermixed,4,correct,1406
2,3b,explicit_direct,18,AB,blocked,3,correct,1764
2,3b,explicit_direct,19,AB,intermixed,4,correct,2759
2,3b,explicit_direct,20,BC,intermixed,6,correct,1923
2,3b,explicit_direct,21,AB,intermixed,5,incorrect,4525
2,3b,explicit_direct,22,AB,blocked,2,correct,1811
2,3b,explicit_direct,23,BC,blocked,1,correct,1546
2,3b,explicit_direct,24,AB,blocked,3,correct,1499
3,3b,speeded_recognition,1,BC,intermixed,5,incorrect,1509
3,3b,speeded_recognition,2,foil,blocked,N/A,correct,1459
3,3b,speeded_recognition,3,foil,blocked,N/A,incorrect,2145
3,3b,speeded_recognition,4,BC,intermixed,4,correct,1426
3,3b,speeded_recognition,5,foil,blocked,N/A,correct,1349
3,3b,speeded_recognition,6,AB,blocked,1,correct,1737
3,3b,speeded_recognition,7,foil,intermixed,N/A,incorrect,1707
3,3b,speeded_recognition,8,BC,intermixed,6,correct,1210
3,3b,speeded_recognition,9,BC,blocked,1,correct,1806
3,3b,speeded_recognition,10,AB,intermixed,4,correct,1089
3,3b,speeded_recognition,11,AC,blocked,3,correct,1826
3,3b,speeded_recognition,12,foil,intermixed,N/A,incorrect,1289
3,3b,speeded_recognition,13,AC,blocked,1,incorrect,1040
3,3b,speeded_recognition,14,AB,intermixed,4,incorrect,1658
3,3b,speeded_recognition,15,AB,blocked,3,correct,1149
3,3b,speeded_recognition,16,foil,blocked,N/A,correct,1747
3,3b,speeded_recognition,17,AC,blocked,3,incorrect,890
3,3b,speeded_recognition,18,foil,intermixed,N/A,incorrect,781
3,3b,speeded_recognition,19,AB,blocked,2,correct,860
3,3b,speeded_recognition,20,AB,intermixed,6,correct,1060
3,3b,speeded_recognition,21,BC,blocked,1,correct,562
3,3b,speeded_recognition,22,AC,intermixed,4,correct,363
3,3b,speeded_recognition,23,AB,blocked,1,correct,435
3,3b,speeded_recognition,24,AB,intermixed,5,correct,1180
3,3b,speeded_recognition,25,foil,intermixed,N/A,incorrect,1071
3,3b,speeded_recognition,26,BC,blocked,3,incorrect,393
3,3b,speeded_recognition,27,AC,intermixed,5,incorrect,632
3,3b,speeded_recognition,28,BC,blocked,2,incorrect,1230
3,3b,speeded_recognition,29,AB,intermixed,6,correct,742
3,3b,speeded_recognition,30,AC,blocked,2,incorrect,3282
3,3b,speeded_recognition,31,AC,intermixed,4,incorrect,1150
3,3b,speeded_recognition,32,AB,blocked,3,correct,922
3,3b,speeded_recognition,33,AC,intermixed,5,incorrect,862
3,3b,speeded_recognition,34,AB,blocked,2,correct,632
3,3b,speeded_recognition,35,BC,intermixed,4,correct,801
3,3b,speeded_recognition,36,foil,intermixed,N/A,correct,1509
3,3b,speeded_recognition,37,AC,blocked,2,incorrect,681
3,3b,speeded_recognition,38,AC,intermixed,6,correct,1271
3,3b,speeded_recognition,39,BC,blocked,2,correct,543
3,3b,speeded_recognition,40,AB,intermixed,5,correct,890
